release,page,lrn_question_reference,prompt,var_name,lrn_option_0,lrn_option_1,lrn_option_2,lrn_option_3,lrn_option_4,lrn_option_5,lrn_option_6,lrn_option_7,lrn_option_8,lrn_option_9,lrn_option_10,lrn_option_11
release/v1.6,student survey (required),8055c2da-3c7c-4c67-9423-dde94e8c7e3a,"when i think about this course, i'm concerned that... (write ""not at all"" if you so feel)",con_course,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),c8cb6e9f-a4c5-4c30-a497-b6dea0272ff1,"in general, i tend to feel very anxious about mathematics.",anx_ma,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),ff5d1cec-1070-484b-9fbc-c46908fa62cb,i am feeling very anxious about being able to master the material in this course.,anx_course,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),45c8af0d-70c2-49c1-9b85-447184024241,i expect that this course will require a lot of memorization.,rate_mem.pre,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),3052f550-4d2d-4dec-98b3-35e1c9e8c96f,how well have you done in mathematics courses you have taken in the past?,prev_ma2,not well at all,slightly well,moderately well,very well,extremely well,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),f45af090-abc1-4a59-8282-ae67bb011efd,have you had experience with computer programming before?,prev_pro,"yes, i have taken a computer programming class.","yes, i have used computer programming in a non-programming course.",no,"not a formal course, but i have tried programming on my own.",NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),04813bed-46f1-463b-a88a-d54e4f6f1297,"in this course, you will use r (a programming language) to analyze data.&nbsp; how do you feel about this?",sent_pro.pre,strongly negative,somewhat negative,neither positive nor negative,somewhat positive,strongly positive,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),643bd974-0ea6-4368-9d86-2ea5f8943edc,which of the following courses have you successfully completed? (check all that apply),prev_ma1,ap calculus in high school,calculus in college,ap statistics in high school,a different statistics course (besides this one) in college,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),8b0e175f-080e-449f-83f8-23f7cf013cff,"write a brief biography of your experiences learning mathematics over the years.&nbsp; where possible, please provide specific examples.&nbsp; write at least 150 but no more than 300 words.",ma_bio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),6c5f8bd7-4a8e-4dbd-b331-cbc2bddb211b,i know i can learn the material in this course.,exp_course1,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),ac2f22d5-1b23-4d85-bea2-88812bcb353b,i believe that i can be successful in this course.,exp_course2,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),0bf4f6a9-d04e-4e30-8da2-9697e4311a6b,"you can learn new things, but you can't really change your basic math ability.",gm1.pre,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),7e07fb9e-d18a-4276-8c03-7b2aeec68a76,"no matter how much math ability you have, you can always improve it.",gm2.pre,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),b82a060f-07a8-45ed-bcd4-935d4782911f,become an independent thinker,ra_ind3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),4bddee34-f037-4dde-8b91-93c16116eeec,help my family out after i'm done with college,ra_help1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),945f82b7-bcb6-4f29-9fc6-5cd3a2b21a51,show that people with my background can do well,ra_inter2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),b8698553-67d8-4ad6-9f33-6f6e3176e86e,learn more about my interests,ra_ind4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),9fbc6a04-6835-4c23-94d7-34128d694a5f,be a role model for people in my community,ra_inter1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),4c3a4b4d-ebef-4eb2-80a2-425d460fe16f,expand my understanding of the world,ra_ind2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),a5a76ede-a86c-4d8b-b73e-77dc63f0bcd5,explore new interests,ra_ind1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),6473b1a8-63c2-4841-a50e-cbf0fd4f6d19,provide a better life for my own children,ra_help3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),109c532b-d723-4605-b651-e08e81747021,give back to my community,ra_help2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),380ccb1e-8bb9-40f3-b0d2-4d05d3ba349a,what is the highest level of education completed by your mother?,ed_mother,i do not know/uncertain,elementary or middle school,some high school,high school graduate,post high school vocational training,some college,associate's degree,bachelor's degree,"post graduate degree (master's, doctorate, etc.)",NA,NA,NA
release/v1.6,student survey (required),0fc7c772-ea1a-4457-8940-3007e64becf8,do you commute more than 30 minutes each way to attend this school?,commute,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),49ae5a26-6ea6-4887-8059-105e69da6d12,"if you indicated in the prior question that you prefer to self-describe your gender, how do you describe yourself?",gender2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),6350d37d-caf2-48c2-9ef8-34cfed6a49ad,what best describes your gender?,gender1,male,female,non-binary,prefer to self-describe,prefer not to say,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),37d18e27-eb29-4fdf-8e26-8c1acd29f9e1,is english your most proficient language?,lang1,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),cf62ea6d-42ce-42ae-a41b-9936363e7c44,"if you indicated in the prior question that you prefer to self-describe your racial/ethnic background, how do you describe yourself?",re2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),2789e95e-1b76-419d-a59e-47bb1f96fd6e,what is your year in school?,year,first,second,third,fourth,other,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),c9fed305-fda2-4e67-8ad6-f15dfbfcca46,what best describes your racial/ethnic background?,re1,white,african american,asian,latinx,prefer to self-describe,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),3d36483f-18b2-4548-bcd2-2b0ada169eb1,approximately how many hours per week do you work at paid employment?,employ,40+ hours per week,30-40 hours per week,20-30 hours per week,10-20 hours per week,less than 10 hours per week,i don't currently have paid employment,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),dddb1dce-d9bd-496c-96a1-c52dd1d17978,which of the following describes you?,ed_status,i am a community college student,i am a student at a four year university and transferred from a community college,i am at a four year university and began here as a freshman,none of the above,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),016ccb06-5646-40b4-8215-c49ecd8ebbea,what is your gpa at this school?,gpa,below 2.00,2.00 - 2.49,2.50 - 2.99,3.00 - 3.49,3.50 - 4.00,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),8b36d7c2-e6ac-4ec2-a343-1ea765eced89,the content of this course is important for me.,val_course1,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),13a20e61-4fe1-442a-b034-76645d3ecfc9,what i learn in this course will be useful in the future.,val_course2,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,1.5 goals of this course,082d0354-ea44-488b-bb49-de3539ded4ba,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,2.9 summary,0568ab61-852c-4e9f-9fcc-3c0e432e9be4,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,3.8 exploring variation in categorical variables,1601756a-e8c9-44f8-add7-c12612e040d5,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,4.11 quantifying the data generating process,e28bb954-7e3a-45c4-90b7-3fd19ef4c5b8,how much stress are you experiencing in your statistics class this week?,stress2.t1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,4.11 quantifying the data generating process,9b08238b-4407-4e88-bcf6-09f91851bae6,how much has your statistics class contributed to your overall stress this week?,stress3.t1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,4.11 quantifying the data generating process,9c6c14ea-b594-4ec0-8df0-8cfecfa8b46f,how much stress are you experiencing in your life this week?,stress1.t1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,4.11 quantifying the data generating process,880f31ee-f703-4f9b-9634-7aea4889b246,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,5.9 summarizing where we are,beb080ea-c38b-4729-8da8-ccc8c1d6c157,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,6.9 next up: reducing error,b1c8c763-f085-48fc-a383-f70e13487d0d,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,7.10 the f ratio,492f3643-5762-4ec5-b4f4-1b97c10f86f6,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,7c00bb6c-b69f-4761-a8cc-c57eb65da4bf,how much has your statistics class contributed to your overall stress this week?,stress3.t2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,682a37fd-c90d-41b2-8467-70824ce39da6,how much stress are you experiencing in your statistics class this week?,stress2.t2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,c9938f13-8fcd-4f1d-bb8e-d26bd32085af,how much stress are you experiencing in your life this week?,stress1.t2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,023d21fa-7277-42ed-be78-b2b25c7d59bd,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,5162890e-c8c1-4657-9ee1-009950e5a86a,i'm unable to put in the time needed to do well in this course.,cost_course1,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,48a69902-b209-4c2f-8916-36ac8b7e6707,this course is too stressful for me.,cost_course3,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,0bd71c09-270a-49cd-ae75-87cdd9d7d6bc,i have to give up too much to do well in this course.,cost_course2,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,eeff667b-c3ff-4817-866b-2a5c09fcbda9,i believe that i can be successful in this course.,exp_course2.mid,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,d9d078e7-44cd-4aaa-96ff-e790bc1fbc4c,i know i can learn the material in this course.,exp_course1.mid,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,df8fb755-7378-4a8c-bb41-8e7aace8328d,what i learn in this course will be useful in the future.,val_course2.mid,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,8.9 limitations to keep in mind,144a9719-8da9-4d26-aa9c-ab4cb49a2baf,the content of this course is important for me.,val_course1.mid,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,9.9 the central limit theorem,12ef5c77-f60d-49dc-abe1-69d05f5c073c,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,10.8 using confidence intervals to evaluate a regression model,2aaf381a-9d65-4301-9a03-17219e0ec0a3,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,11.8 model comparison with a quantitative explanatory variable,c8473764-31cc-4ecf-a4a0-c0e02536f81d,how much has your statistics class contributed to your overall stress this week?,stress3.t3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,11.8 model comparison with a quantitative explanatory variable,3b547c21-7bda-400c-b5b1-b279ec7ce722,how much stress are you experiencing in your statistics class this week?,stress2.t3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,11.8 model comparison with a quantitative explanatory variable,83cbbcc2-0a9f-4482-b17f-18d3108e1509,how much stress are you experiencing in your life this week?,stress1.t3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,11.8 model comparison with a quantitative explanatory variable,f7f59cbd-3c15-415e-9177-fda54385a28a,"in a paragraph, summarize the main idea(s) in this chapter.",sum_ch11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),c7e4fec4-8d7e-43be-9397-1859895dbd14,this course required deep thinking and understanding of concepts.,rate_underst,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),bac23a25-2b48-4281-b771-0164397ffa15,what advice would you give to future students who want to do well in this course?,course_adv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),caa3d18d-6fd5-4396-84cb-6ee1324a7568,i learned a lot from this course.,rate_learn,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),92e465b4-01bc-4c0e-a268-8ac3c0cdcb0c,i think other instructors should use this book for teaching statistics.,course_rec,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),9e81a5ed-556a-419e-8c64-0c9be8405eeb,i had the math preparation needed to succeed in this course.,rate_ma_prep,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),eebcc522-5c32-47cb-8f1d-1669847f1b80,this course was challenging.,rate_chal,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),95dab0a8-1581-4a1a-9d08-c4dfc9b230ca,this course required a lot of memorization.,rate_mem.post,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),06b492a2-d8ba-4ae2-9430-aed42bd1e6dd,use r to analyze a new dataset,conf_r,not at all confident,only a little confident,somewhat confident,mostly confident,completely confident,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),d38780ae-e9cf-465e-99f8-64ecd50513a5,time spent in class,rate_class,not at all important,slightly important,moderately important,very important,extremely important,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),16211288-eea9-42e7-93e6-b4ff9ceef4f7,r coding exercises,rate_r,not at all important,slightly important,moderately important,very important,extremely important,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),db2b6ed7-3430-4fb3-b34e-0b43704c2bc1,the online textbook,rate_book,not at all important,slightly important,moderately important,very important,extremely important,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),bac39f43-77f5-4d20-9cd3-b9f89abeab03,time studying with other students,rate_peer,not at all important,slightly important,moderately important,very important,extremely important,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),d99387a9-3980-4119-b1e0-b44b71c010dc,did you usually attend&nbsp;class?,attend1,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),ea8baec9-d8e4-4471-a626-1f3065db8338,why?,procrast2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),81f4e64c-4e60-4a96-85ff-5109dcae6ce8,did you wait until the last minute to do your homework?,procrast1,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),95c17b93-d49e-42ab-97d1-68b75ec2152a,why?,attend2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),f5098708-7942-4a4a-a2ce-b9a3855c60c0,i think statistics is interesting and enjoyable.,int_stat,strongly disagree,disagree,slightly disagree,slightly agree,agree,strongly agree,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),a4605c4e-2679-4fdf-9056-046e21daef1a,"in this course, you used r (a programming language) to analyze data.&nbsp; how do you feel about this now?",sent_pro.post,strongly negative,somewhat negative,neither positive nor negative,somewhat positive,strongly positive,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),2d0aab7c-b4a3-4a8b-9f10-56d2ee42ae2e,"you can learn new things, but you can't really change your basic math ability.",gm1.post,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),858c8fa5-868b-4b5d-9185-5be48e4017ba,"no matter how much math ability you have, you can always improve it.",gm2.post,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),d203d48b-9185-4901-be4c-776279781a75,the content of this course is important for me.,val_course1.post,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),2b0fe2ed-8c43-4f2b-90be-6f2cbe916845,what i learn in this course will be useful in the future.,val_course2.post,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,12.3 end of course survey (required),3290c7b1-5251-405a-bcd5-5f1bfc74e491,understanding the content of this course is more important to me than getter good grades.,val_underst,strongly disagree,somewhat disagree,neither agree nor disagree,[somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA